Trees,LR,Subsample,% Features,Weight of Default,AUC Train,AUC Test 1,AUC Test 2
50.0,0.01,0.5,0.5,1.0,0.9446393390258243,0.9426371143901986,0.9398643654714828
50.0,0.01,0.5,0.5,5.0,0.9435769644457437,0.9415211157829715,0.9386008212676449
50.0,0.01,0.5,0.5,10.0,0.9431932337613073,0.9410952351686203,0.9380101550360634
50.0,0.01,0.5,1.0,1.0,0.9455795970575048,0.9430247294091676,0.939732148511036
50.0,0.01,0.5,1.0,5.0,0.9443596183943677,0.941897531115487,0.9383898651512288
50.0,0.01,0.5,1.0,10.0,0.9439435221823221,0.9416733423670041,0.9383745040706455
50.0,0.01,0.8,0.5,1.0,0.9450470931281287,0.942739750322771,0.9398126307683479
50.0,0.01,0.8,0.5,5.0,0.9437384293556978,0.9413135594046691,0.9382736084624521
50.0,0.01,0.8,0.5,10.0,0.9435583679492175,0.9414420911296755,0.9379903136403099
50.0,0.01,0.8,1.0,1.0,0.9454033703869539,0.9424310903073067,0.9389634680548218
50.0,0.01,0.8,1.0,5.0,0.9439431575451354,0.9412914107710115,0.9379712620873524
50.0,0.01,0.8,1.0,10.0,0.9437614975895916,0.9409182271888158,0.9376408899109756
50.0,0.1,0.5,0.5,1.0,0.9513186020130477,0.944732221904681,0.9424432430542111
50.0,0.1,0.5,0.5,5.0,0.9513441406161546,0.94460122457706,0.9422172799246719
50.0,0.1,0.5,0.5,10.0,0.9512087590378094,0.9445541831079642,0.9417713319584804
50.0,0.1,0.5,1.0,1.0,0.9522818360056864,0.9453405989023973,0.9428490179816429
50.0,0.1,0.5,1.0,5.0,0.9520653866079709,0.9451320256371409,0.9420782539746048
50.0,0.1,0.5,1.0,10.0,0.9518182905047082,0.944384516216171,0.941823624998764
50.0,0.1,0.8,0.5,1.0,0.9519227848315086,0.9455959350375839,0.9423761608884718
50.0,0.1,0.8,0.5,5.0,0.9521940844439549,0.9450097206034838,0.9423750033602364
50.0,0.1,0.8,0.5,10.0,0.9523106868889979,0.945006795312246,0.942003668302304
50.0,0.1,0.8,1.0,1.0,0.952854620571449,0.945369475705902,0.9424891356442517
50.0,0.1,0.8,1.0,5.0,0.9530382838042422,0.9449183540071558,0.942015338910513
50.0,0.1,0.8,1.0,10.0,0.9529724989284631,0.9445305718286876,0.941869408644971
100.0,0.01,0.5,0.5,1.0,0.9460072833866237,0.9436453369102493,0.9407533471563085
100.0,0.01,0.5,0.5,5.0,0.945125392123067,0.9428316183975967,0.9397008816306995
100.0,0.01,0.5,0.5,10.0,0.9447038333532355,0.9422509759468067,0.9390999882967087
100.0,0.01,0.5,1.0,1.0,0.9467690238334909,0.9439076240946151,0.9406584162230225
100.0,0.01,0.5,1.0,5.0,0.9458766700917702,0.9430159813953707,0.9396728694474018
100.0,0.01,0.5,1.0,10.0,0.9455527367241416,0.9425503864699764,0.9393681943978521
100.0,0.01,0.8,0.5,1.0,0.946443497644085,0.9438453432511664,0.9407975919708611
100.0,0.01,0.8,0.5,5.0,0.9453374951473346,0.9426204680900595,0.9394854588170927
100.0,0.01,0.8,0.5,10.0,0.9450572348782961,0.9423679318764864,0.9390428608737944
100.0,0.01,0.8,1.0,1.0,0.9467667252828474,0.9434736362445479,0.9400687577219049
100.0,0.01,0.8,1.0,5.0,0.9458610193291667,0.9426006039695589,0.9392867316460348
100.0,0.01,0.8,1.0,10.0,0.945508534806176,0.9421463480302008,0.9388657862897289
100.0,0.1,0.5,0.5,1.0,0.9569335240521153,0.9446584767055717,0.9424033696109945
100.0,0.1,0.5,0.5,5.0,0.9567083189073614,0.9450345577190886,0.9423124151276465
100.0,0.1,0.5,0.5,10.0,0.9560281216445742,0.9444982682554472,0.9420639687143814
100.0,0.1,0.5,1.0,1.0,0.9584119617532576,0.944742947972553,0.9424435562677336
100.0,0.1,0.5,1.0,5.0,0.9575500835348796,0.9447192391835686,0.9418652823972613
100.0,0.1,0.5,1.0,10.0,0.9570410977495036,0.9441555912818742,0.9417837379375684
100.0,0.1,0.8,0.5,1.0,0.9576060874794877,0.9459076875037856,0.9424806107892472
100.0,0.1,0.8,0.5,5.0,0.957716995093493,0.9449146625682131,0.942371816753094
100.0,0.1,0.8,0.5,10.0,0.957542985518856,0.9446399637910237,0.9420535373422831
100.0,0.1,0.8,1.0,1.0,0.9588447434575154,0.9452198818839835,0.9426346437524374
100.0,0.1,0.8,1.0,5.0,0.9588115455643909,0.944957427540118,0.9420155431802018
100.0,0.1,0.8,1.0,10.0,0.9580471253842014,0.9443414029953088,0.9417762889029238
300.0,0.01,0.5,0.5,1.0,0.9494490657926546,0.9453802574936071,0.9425666628000685
300.0,0.01,0.5,0.5,5.0,0.9491105443920943,0.9449310999189776,0.9419490057336322
300.0,0.01,0.5,0.5,10.0,0.9490349563123668,0.9446346564769208,0.9416897602628291
300.0,0.01,0.5,1.0,1.0,0.9503019012633466,0.9454378439411174,0.9427139003916176
300.0,0.01,0.5,1.0,5.0,0.9500475970529026,0.9450328443342207,0.9419751113998365
300.0,0.01,0.5,1.0,10.0,0.9499900461048022,0.9447602907706057,0.9417317853467655
300.0,0.01,0.8,0.5,1.0,0.9498640229112197,0.9454658152973341,0.9425475295392355
300.0,0.01,0.8,0.5,5.0,0.9495262988760957,0.9449991756250693,0.9419311525628479
300.0,0.01,0.8,0.5,10.0,0.9495266310586639,0.9448236720807586,0.941727672717035
300.0,0.01,0.8,1.0,1.0,0.9507292407735007,0.945404439901173,0.9423294512196765
300.0,0.01,0.8,1.0,5.0,0.9503530911061782,0.9449757593652084,0.9418505477437229
300.0,0.01,0.8,1.0,10.0,0.9503072664572765,0.9447024117939719,0.9416123965227633
300.0,0.1,0.5,0.5,1.0,0.9733399739980211,0.9424608864880574,0.9410498650362932
300.0,0.1,0.5,0.5,5.0,0.9718194954747008,0.9430885564779851,0.9410653078247518
300.0,0.1,0.5,0.5,10.0,0.9692401608337886,0.9421161478806601,0.9402738172533097
300.0,0.1,0.5,1.0,1.0,0.9760101529349198,0.9429625600053847,0.9397483675243113
300.0,0.1,0.5,1.0,5.0,0.9744135683307025,0.9421635375987125,0.9401791722975877
300.0,0.1,0.5,1.0,10.0,0.9717712475476018,0.9413972505939874,0.9398952101944629
300.0,0.1,0.8,0.5,1.0,0.9753687650324703,0.9440416163632658,0.9415147556116085
300.0,0.1,0.8,0.5,5.0,0.9743823285329075,0.9429295738641889,0.9411961493692956
300.0,0.1,0.8,0.5,10.0,0.9724272705739985,0.9429798888734793,0.9407969655438161
300.0,0.1,0.8,1.0,1.0,0.9781004002899216,0.9433571957233242,0.9411097160550556
300.0,0.1,0.8,1.0,5.0,0.976768030009429,0.9430524778860518,0.9406786797761324
300.0,0.1,0.8,1.0,10.0,0.9746956600584209,0.9423209043373489,0.9404034195617423
